Feature,Importance
 Avg Bwd Segment Size,0.10331601261634574
 Max Packet Length,0.08602318311499714
Bwd Packet Length Max,0.08496567103906229
 Packet Length Std,0.06809356216035996
 Packet Length Variance,0.06114404999382415
 Bwd Packet Length Std,0.06077954659519065
 Average Packet Size,0.049990518994845086
 Bwd Packet Length Mean,0.03938188081463486
 Packet Length Mean,0.030275729803852406
 Total Length of Bwd Packets,0.027409228790508458
 Flow IAT Mean,0.025996245623932365
 Fwd IAT Mean,0.02402958113117829
 Subflow Bwd Bytes,0.020691309723216388
 Destination Port,0.020586866557741095
 Fwd IAT Std,0.020317239085125977
Idle Mean,0.019599110532412416
 Flow Packets/s,0.018736799354012075
 Flow IAT Max,0.01872065550672135
 Flow IAT Std,0.017970546976127356
 Init_Win_bytes_backward,0.015221065848768197
 Fwd Header Length,0.014181710144839698
 Idle Min,0.013242176226346197
 Fwd Header Length.1,0.01166770280721083
Init_Win_bytes_forward,0.010970636481926298
 Fwd IAT Max,0.010735450620700825
Fwd IAT Total,0.009894375130254712
 Bwd Packets/s,0.009743068917098465
 Total Fwd Packets,0.009014111766018419
FIN Flag Count,0.006951669704013999
Total Length of Fwd Packets,0.005567291297870182
 Fwd Packet Length Max,0.004741731005675405
 Bwd Header Length,0.0045600255417454875
 Subflow Bwd Packets,0.004357513344506045
 Fwd Packet Length Mean,0.004225162136611915
 Subflow Fwd Bytes,0.004140179385019532
 Fwd Packet Length Std,0.00408245225955747
Subflow Fwd Packets,0.003988883655890587
 Fwd IAT Min,0.0038295392526536943
 Flow Duration,0.00382530464010524
 Fwd Packet Length Min,0.003575931326878913
 Avg Fwd Segment Size,0.0034747058285471495
 Total Backward Packets,0.0034523585497913587
Fwd Packets/s,0.00334167049520074
 Flow IAT Min,0.0029744478676201383
 Bwd Packet Length Min,0.002960701967510751
 Min Packet Length,0.0027453592086554616
 Active Min,0.002446186242258965
 Bwd IAT Mean,0.002364537189940634
Flow Bytes/s,0.0023186676692911446
 Idle Max,0.0018138681056831375
 min_seg_size_forward,0.0017453662251634056
 Bwd IAT Max,0.0017200725491592175
 Active Max,0.0016145819399406621
 Bwd IAT Min,0.001534341688454483
 Bwd IAT Std,0.0012582739053648314
 URG Flag Count,0.0011496338941100392
 Active Std,0.0010823676592727372
 Down/Up Ratio,0.0009825127241961627
Active Mean,0.0008835820087165688
 act_data_pkt_fwd,0.0008724227517043162
 ACK Flag Count,0.0008449087669892362
 PSH Flag Count,0.000837881891233847
Bwd IAT Total,0.0005272329956297068
 Idle Std,0.00024373907336478176
Fwd PSH Flags,0.00013631899407090783
 SYN Flag Count,0.00013025652451450085
 RST Flag Count,2.833758347703965e-07
 Bwd PSH Flags,0.0
 Fwd URG Flags,0.0
 Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
 CWE Flag Count,0.0
 ECE Flag Count,0.0
